Record.Number,Scientific.Name,sex,Specimen.Type,Status,Region(s),Lat/Long,Longitude,Precision
910656,Speyeria diana,M,Photograph,Resident,United StatesTennesseeDeKalb County,35.91015146,-85.80571175,point record
928420,Speyeria diana,F,Photograph,Resident,United StatesArkansasSebastian County,35.32450954,-94.2932725,point record
929029,Speyeria diana,F,Photograph,Resident,United StatesTennesseeRoane County,35.858096,-84.7211236,point record
929406,Speyeria diana,F,Photograph,Resident,United StatesTennesseeVan Buren County,35.66274442,-85.35938144,point record
978103,Speyeria diana,M,Photograph,Resident,United StatesTennesseeMorgan County,36.10788117,-84.45534917,point record
978789,Speyeria diana,M,Photograph,Resident,United StatesArkansasFranklin County,35.30885209,-93.90656607,point record
979074,Speyeria diana,M,Photograph,Resident,United StatesArkansasConway County,35.1242675,-92.90943971,point record
979352,Speyeria diana,M,Photograph,Resident,United StatesKentuckyLeslie County,37.07670184,-83.43042829,point record
979356,Speyeria diana,M,Photograph,Resident,United StatesKentuckyLeslie County,37.07670184,-83.43040684,point record
979453,Speyeria diana,F,Photograph,Resident,United StatesArkansasSebastian County,35.3121963,-94.29136,point record
981896,Speyeria diana,M,Photograph,Resident,United StatesKentuckyLeslie County,37.07673608,-83.43029955,point record
981972,Speyeria diana,M,Photograph,Resident,United StatesTennesseeClaiborne County,36.53893492,-83.77791706,point record
982671,Speyeria diana,M,Photograph,Resident,United StatesTennesseeAnderson County,36.0889674,-84.2813143,point record
982812,Speyeria diana,M,Photograph,Resident,United StatesArkansasHoward County,34.0723107,-93.9081083,point record
982821,Speyeria diana,F,Photograph,Resident,United StatesArkansasHoward County,34.0783633,-93.9043788,point record
983741,Speyeria diana,M,Photograph,Resident,Sedgwick CountyKansasUnited States,37.703095,-97.3480359,point record
,,,,,,,,
,,,,,,,,
983909,Speyeria diana,F,Photograph,Resident,United StatesArkansasSebastian County,35.31971655,-94.27604157,point record
985946,Speyeria diana,M,Photograph,Resident,United StatesKentuckyPulaski County,36.98135346,-84.40919596,point record
986014,Speyeria diana,M,Photograph,Resident,United StatesOklahomaMuskogee County,35.7478769,-95.3696909,point record
986838,Speyeria diana,F,Photograph,Resident,United StatesTennesseeSevier County,35.69538063,-83.6303607,point record
986878,Speyeria diana,M,Photograph,Resident,United StatesKentuckyMcCreary County,36.67130968,-84.6733028,point record
989873,Speyeria diana,M,Photograph,Resident,United StatesOklahomaPayne County,36.060514,-97.029911,point record
1001032,Speyeria diana,M,Photograph,Resident,United StatesNorth CarolinaMitchell County,36.10363269,-82.37386781,point record
1001335,Speyeria diana,F,Photograph,Resident,United StatesNorth CarolinaHenderson County,35.23280639,-82.48026495,point record
1011978,Speyeria diana,F,Photograph,Resident,United StatesArkansasSebastian County,35.31976956,-94.27601174,point record
1013802,Speyeria diana,F,Photograph,Resident,United StatesTennesseeBledsoe County,35.45171648,-85.21327073,point record
1014017,Speyeria diana,F,Photograph,Resident,United StatesTennesseeCumberland County,35.83395868,-85.10544049,point record
1045912,Speyeria diana,M,Photograph,Resident,United StatesGeorgiaRabun County,34.97083575,-83.393743,point record
1046904,Speyeria diana,M,Photograph,Resident,United StatesArkansasSebastian County,35.3033057,-94.3366385,point record
1047781,Speyeria diana,M,Photograph,Resident,United StatesNorth CarolinaMcDowell County,35.66623027,-82.12134814,point record
1048427,Speyeria diana,M,Photograph,Resident,United StatesTennesseeBlount County,35.60351619,-83.78362804,point record
1048821,Speyeria diana,M,Photograph,Resident,United StatesKentuckyPulaski County,36.99330048,-84.39279549,point record
1049421,Speyeria diana,M,Sighting,Resident,United StatesTennesseeCocke County,35.78913042,-83.22209214,point record
1049883,Speyeria diana,M,Photograph,Resident,United StatesTennesseeCocke County,35.78892155,-83.22222088,point record
1050867,Speyeria diana,M,Photograph,Resident,United StatesKentuckyMcCreary County,36.637347,-84.6346499,point record
1051212,Speyeria diana,M,Photograph,Resident,United StatesKentuckyLeslie County,37.07668472,-83.43034246,point record
1051311,Speyeria diana,M,Photograph,Resident,United StatesNorth CarolinaBuncombe County,35.4619928,-82.7219971,point record
1051409,Speyeria diana,M,Photograph,Resident,United StatesTennesseeBlount County,35.60163664,-84.05457425,point record
1052617,Speyeria diana,M,Photograph,Resident,United StatesTennesseeClaiborne County,36.538877,-83.778135,point record
1056276,Speyeria diana,F,Photograph,Resident,United StatesVirginiaPatrick County,36.8093925,-80.34965721,point record
1059215,Speyeria diana,M,Photograph,Resident,United StatesGeorgiaCoweta County,33.38106625,-84.62113389,point record
1062016,Speyeria diana,M,Photograph,Resident,United StatesTennesseeCumberland County,36.043544,-84.89614,point record
1062019,Speyeria diana,M,Photograph,Resident,United StatesTennesseeCumberland County,36.043544,-84.89614,point record
1062073,Speyeria diana,M,Photograph,Resident,United StatesNorth CarolinaBuncombe County,35.6552091,-82.29894432,point record
1063811,Speyeria diana,F,Photograph,Resident,United StatesVirginiaMontgomery County,37.2818904,-80.4681963,point record
1064212,Speyeria diana,F,Photograph,Resident,United StatesAlabamaElmore County,32.681961,-86.252877,point record
1066900,Speyeria diana,F,Photograph,Resident,United StatesTennesseeSevier County,35.69398241,-83.63007713,point record
1084048,Speyeria diana,M,Photograph,Resident,United StatesGeorgiaCoweta County,33.357999,-84.841441,point record
1085036,Speyeria diana,M,Photograph,Resident,United StatesTennesseeSequatchie County,35.356778,-85.269392,point record
1085124,Speyeria diana,M,Photograph,Resident,United StatesTennesseeCocke County,35.79043912,-83.22437738,point record
1085403,Speyeria diana,F,Photograph,Resident,United StatesTennesseeSequatchie County,35.356778,-85.269392,point record
1085405,Speyeria diana,M,Photograph,Resident,United StatesTennesseeSequatchie County,35.356778,-85.269392,point record
1085457,Speyeria diana,M,Photograph,Resident,United StatesTennesseeSequatchie County,35.356778,-85.269392,point record
1085599,Speyeria diana,M,Photograph,Resident,United StatesTennesseeCocke County,35.79040436,-83.22411994,point record
1085611,Speyeria diana,F,Photograph,Resident,United StatesTennesseeSequatchie County,35.356778,-85.269392,point record
1085708,Speyeria diana,M,Photograph,Resident,United StatesTennesseeSequatchie County,35.356778,-85.269392,point record
1086616,Speyeria diana,M,Photograph,Resident,United StatesArkansasLogan County,35.16709,-93.6452539,point record
1091415,Speyeria diana,M,Photograph,Resident,United StatesGeorgiaRabun County,34.96222261,-83.47604311,point record
1096513,Speyeria diana,M,Photograph,Resident,United StatesTennesseePutnam County,36.13180873,-85.24201725,point record
1096995,Speyeria diana,M,Photograph,Resident,United StatesVirginiaGiles County,37.43373501,-80.53753085,point record
1105014,Speyeria diana,F,Photograph,Resident,United StatesTennesseeCocke County,35.78974294,-83.22510699,point record
1105034,Speyeria diana,F,Photograph,Resident,United StatesAlabamaElmore County,32.681961,-86.252877,point record
1107574,Speyeria diana,F,Photograph,Unknown,United StatesOklahomaWagoner County,35.8939637,-95.7971542,point record
1113388,Speyeria diana,F,Photograph,Resident,United StatesStephens CountyGeorgia,34.66284854,-83.30546142,point record
,,,,,,,,
1116584,Speyeria diana,F,Photograph,Resident,United States,35.1838227,-91.959649,point record
1116707,Speyeria diana,M,Photograph,Resident,United StatesTroup CountyGeorgia,33.078062,-84.867464,point record
1116852,Speyeria diana,F,Photograph,Resident,White CountyUnited StatesArkansas,35.18389616,-91.95953608,point record
1118083,Speyeria diana,M,Photograph,Resident,Walker CountyUnited StatesGeorgia,34.84797438,-85.42642593,point record
1119277,Speyeria diana,F,Photograph,Resident,Sebastian CountyArkansasUnited States,35.3349543,-94.2971119,point record
1119513,Speyeria diana,M,Photograph,Resident,Garland CountyUnited StatesArkansas,34.601916,-92.9954326,point record
1119834,Speyeria diana,M,Photograph,Resident,Cherokee CountyNorth CarolinaUnited States,35.0959275,-83.91020536,point record
1120013,Speyeria diana,M,Photograph,Resident,Coweta CountyUnited StatesGeorgia,33.29625954,-84.80971014,point record
1122985,Speyeria diana,M,Photograph,Resident,Sequatchie CountyUnited StatesTennessee,35.3567702,-85.2696308,point record
1124197,Speyeria diana,F,Photograph,Resident,United StatesVirginiaCraig County,37.58644816,-80.13874054,point record
1124473,Speyeria diana,M,Photograph,Resident,United StatesVirginiaCraig County,37.54290574,-80.22766113,point record
1127457,Speyeria diana,M,Photograph,Resident,Sequatchie CountyUnited StatesTennessee,35.3567842,-85.2696134,point record
1127987,Speyeria diana,M,Photograph,Resident,Wagoner CountyUnited StatesOklahoma,35.89294549,-95.80227647,point record
1128365,Speyeria diana,F,Photograph,Resident,Cocke CountyTennesseeUnited States,35.78883748,-83.22217047,point record
1128390,Speyeria diana,M,Photograph,Resident,Cocke CountyTennesseeUnited States,35.7890062,-83.22213385,point record
1128393,Speyeria diana,M,Photograph,Resident,Cocke CountyTennesseeUnited States,35.78883748,-83.22218657,point record
1128401,Speyeria diana,F,Photograph,Resident,Cocke CountyTennesseeUnited States,35.78895398,-83.22217676,point record
1128577,Speyeria diana,M,Photograph,Resident,Pickens CountySouth CarolinaUnited States,34.93458,-82.56370667,point record
1129513,Speyeria diana,M,Photograph,Resident,Cocke CountyUnited StatesTennessee,35.9388381,-82.947038,point record
1132356,Speyeria diana,M,Photograph,Resident,Putnam CountyUnited StatesTennessee,36.1820515,-85.4986997,point record
1134627,Speyeria diana,M,Photograph,Resident,United StatesNorth CarolinaAshe County,36.28761399,-81.37045212,point record
1134876,Speyeria diana,F,Photograph,Resident,Coweta CountyUnited StatesGeorgia,33.22854151,-84.82915163,point record
1138739,Speyeria diana,F,Photograph,Resident,Marion CountyUnited StatesTennessee,35.071256,-85.3700239,point record
1141632,Speyeria diana,F,Photograph,Resident,United StatesVirginiaGiles County,37.34103511,-80.61712191,point record
1143055,Speyeria diana,M,Photograph,Resident,Garland CountyUnited StatesArkansas,34.602718,-92.9944705,point record
1146081,Speyeria diana,F,Photograph,Resident,Sevier CountyUnited StatesTennessee,35.685689,-83.536544,point record
1146148,Speyeria diana,F,Photograph,Resident,Cocke CountyTennesseeUnited States,35.78929339,-83.22224113,point record
1159823,Speyeria diana,F,Photograph,Resident,Saline CountyUnited StatesArkansas,34.51055564,-92.39399268,point record
1162215,Speyeria diana,F,Photograph,Resident,Howard CountyUnited StatesArkansas,33.9896983,-93.8588051,point record
1163646,Speyeria diana,M,Photograph,Resident,Cocke CountyUnited StatesTennessee,35.854082,-82.977056,point record
1163681,Speyeria diana,M,Photograph,Resident,Howard CountyUnited StatesArkansas,34.08312021,-93.90422332,point record
,,,,,,,,
1163684,Speyeria diana,F,Photograph,Resident,Howard CountyUnited StatesArkansas,34.08725975,-93.90530693,point record
,,,,,,,,
1167684,Speyeria diana,M,Photograph,Resident,United StatesVirginiaDickenson County,37.22949661,-82.48496511,point record
1168376,Speyeria diana,M,Photograph,Resident,United StatesNorth CarolinaBuncombe County,35.54793996,-82.55131304,point record
1169029,Speyeria diana,F,Photograph,Resident,Pulaski CountyUnited StatesArkansas,34.66939584,-92.42881218,point record
1173350,Speyeria diana,F,Photograph,Resident,Sequatchie CountyUnited StatesTennessee,35.356827,-85.2695895,point record
1174590,Speyeria diana,M,Photograph,Resident,Carter CountyTennesseeUnited States,36.433333,-82.133333,point record
1175309,Speyeria diana,M,Photograph,Resident,Carter CountyUnited StatesTennessee,36.449204,-82.1102185,point record
1175326,Speyeria diana,M,Photograph,Resident,Sullivan CountyUnited StatesTennessee,36.4318572,-82.1375305,point record
1178688,Speyeria diana,F,Photograph,Resident,Carter CountyUnited StatesTennessee,36.4379742,-82.0791617,point record
1178691,Speyeria diana,F,Photograph,Resident,Carter CountyUnited StatesTennessee,36.449204,-82.1102185,point record
1178692,Speyeria diana,M,Photograph,Resident,Carter CountyUnited StatesTennessee,36.43658723,-82.1304548,point record
1178740,Speyeria diana,M,Photograph,Resident,Carter CountyUnited StatesTennessee,36.4576093,-82.0773873,point record
1179232,Speyeria diana,F,Photograph,Resident,Laurel CountyUnited StatesKentucky,37.06538185,-84.19973373,point record
1181537,Speyeria diana,M,Photograph,Resident,Oconee CountySouth CarolinaUnited States,34.7246563,-83.1576426,point record
1181538,Speyeria diana,M,Photograph,Resident,Greenville CountyUnited StatesSouth Carolina,35.08216,-82.593575,point record
1182433,Speyeria diana,F,Photograph,Resident,Sevier CountyUnited StatesTennessee,35.66303407,-83.59007612,point record
1182581,Speyeria diana,F,Photograph,Resident,United StatesGeorgiaPolk County,33.947278,-85.205256,point record
1182684,Speyeria diana,F,Photograph,Resident,Oconee CountySouth CarolinaUnited States,34.75432071,-83.23376434,point record
1187768,Speyeria diana,M,Photograph,Resident,United StatesVirginiaAlleghany County,37.83339354,-79.89559866,point record
1191936,Speyeria diana,M,Photograph,Resident,Saline CountyUnited StatesArkansas,34.6374655,-92.8510823,point record
1200808,Speyeria diana,M,Photograph,Resident,Cocke CountyTennesseeUnited States,35.7888776,-83.2233531,point record
1200809,Speyeria diana,F,Photograph,Resident,Cocke CountyTennesseeUnited States,35.7888776,-83.2233531,point record
1200810,Speyeria diana,M,Photograph,Resident,Cocke CountyTennesseeUnited States,35.7888776,-83.2233531,point record
1200818,Speyeria diana,F,Photograph,Resident,Cocke CountyTennesseeUnited States,35.7888776,-83.2233531,point record
1200819,Speyeria diana,F,Photograph,Resident,Cocke CountyTennesseeUnited States,35.7888776,-83.2233531,point record
1208105,Speyeria diana,M,Photograph,Resident,United StatesTennesseeScott County,36.5534768,-84.5235142,point record
1208746,Speyeria diana,M,Photograph,Resident,United StatesAlabamaCleburne County,33.78747527,-85.56179847,point record
1209468,Speyeria diana,F,Photograph,Resident,United StatesGeorgiaFannin County,34.9260462,-84.4538778,point record
1210776,Speyeria diana,M,Photograph,Resident,United StatesNorth CarolinaCherokee County,35.1961423,-84.0810887,point record
1212118,Speyeria diana,M,Photograph,Resident,United StatesVirginiaWashington County,36.6411211,-81.6692532,point record
1212518,Speyeria diana,M,Photograph,Resident,United StatesTennesseeMarion County,35.14012516,-85.42762756,point record
1212958,Speyeria diana,M,Photograph,Resident,United StatesTennesseeCarter County,36.433333,-82.133333,point record
1213217,Speyeria diana,M,Photograph,Resident,United StatesTennesseeBlount County,35.63924339,-83.78854893,point record
1217247,Speyeria diana,M,Photograph,Resident,United StatesTennesseeCarter County,36.433333,-82.133333,point record
1217251,Speyeria diana,M,Photograph,Resident,United StatesTennesseeCarter County,36.433333,-82.133333,point record
1217253,Speyeria diana,M,Photograph,Resident,United StatesTennesseeCarter County,36.433333,-82.133333,point record
1219077,Speyeria diana,M,Photograph,Resident,United StatesTennesseeCarter County,36.433333,-82.133333,point record
1220047,Speyeria diana,F,Photograph,Resident,United StatesTennesseeCarter County,36.3953066,-82.1227669,point record
